Qualifying Name,Geo_QNAME,"Fresno, California","Los Angeles-Long Beach-Anaheim, California","San Diego-Chula Vista-Carlsbad, California","New Haven-Milford, Connecticut","Tampa-St Petersburg-Clearwater, Florida","Chicago-Naperville-Elgin, Illinois","Boston-Cambridge-Newton, Massachusetts","New York-Newark-Jersey City, New York","Pittsburgh, Pennsylvania","El Paso, Texas","Ventura, California","Hackensack City, New Jersey"
Name of Area,Geo_NAME,Fresno,Los Angeles-Long Beach-Anaheim,San Diego-Chula Vista-Carlsbad,New Haven-Milford,Tampa-St Petersburg-Clearwater,Chicago-Naperville-Elgin,Boston-Cambridge-Newton,New York-Newark-Jersey City,Pittsburgh,El Paso,Ventura,Hackensack city
"Black Population, Alone",ORG_BLPOPA,0.002444273,0.006722622,0.037727343,0.038250294,0.0531234,0.008935599,0.064682349,0.014105365,0.019539616,0.098435043,0.012112223,0.029897076
"Asian Population, Alone",ORG_ASPOPA,0.040174555,0.039488172,0.057128264,0.068246283,0.079353643,0.062304902,0.07308009,0.050585193,0.082606999,0.105602414,0.028851553,0.046098655
"American Indian and Alaska Native Population, Alone",ORG_AMPOPA,0.077815415,0.060363235,0.104455528,0.139446279,0.101970983,0.115038455,0.104393267,0.07038227,0.178188171,0.107894189,0.023832844,0.112716763
"Other Race Population, Alone",ORG_ORPOPA,0.073763744,0.018994419,0.016113664,0.008437691,0.07946293,0.015974923,0.035864566,0.037407364,0.06082207,0.02421637,-0.04029623,0.01859375
Two or More Races Population,ORG_TMPOP,0.025720006,0.096497348,0.070955526,0.080599166,0.116171951,0.099717664,0.10013201,0.089625885,0.101098644,0.040614523,0.047091116,0.084367246
"% White Population, Alone",PCT_ORG_WHPOPA,-0.027828934,-0.026658136,-0.017009094,-0.015573653,-0.01527027,-0.015321923,-0.016284435,-0.022990654,-0.009073769,-0.009770334,0.002855919,-0.044033351
"% Black Population, Alone",PCT_ORG_BLPOPA,-0.025104603,-0.004279601,0.017730496,0.030851777,0.024645258,0.001699717,0.042744657,0.003303965,0.022653722,0.080610022,0.005235602,0.020326679
"% Asian Population, Alone",PCT_ORG_ASPOPA,0.011505273,0.02816092,0.037226277,0.060669456,0.049350649,0.055033557,0.050059595,0.039056143,0.086792453,0.086705202,0.023136247,0.035856574
"% American Indian and Alaska Native Population, Alone",PCT_ORG_AMPOPA,0.046511628,0.043478261,0.088,0.130434783,0.065217391,0.103448276,0.058823529,0.048387097,0.176470588,0.087719298,0.018518519,0.102564103
"% Other Race Population, Alone",PCT_ORG_ORPOPA,0.043790626,0.008049242,-0.002971768,0,0.050343249,0.008705114,0.016260163,0.027077498,0.063829787,0.008219178,-0.046018992,0.009027778
% Two or More Races Population,PCT_ORG_TMPOP,-0.004405286,0.083958021,0.050228311,0.072386059,0.086294416,0.092592593,0.076923077,0.078389831,0.104651163,0.021505376,0.041818182,0.074015748
Total Population,ORG_TOT_POP4,0.02861795,0.010687947,0.019222685,0.007318046,0.027369503,0.007011994,0.021090957,0.010752618,-0.003086081,0.016495119,0.005904531,0.009519094
Hispanic Population,ORG_HISPPOP,0.041205279,0.014528189,0.031761622,0.046048181,0.056609798,0.021434811,0.049494444,0.028546244,0.048227257,0.017745256,0.017750467,0.037310943
White Non-Hispanic Population,ORG_WHNHISPOP,-0.01702263,-0.043078699,-0.024461547,-0.033684347,-0.010179032,-0.033860495,-0.010575787,-0.034264251,-0.017289036,-0.039503963,-0.016147466,-0.100648541
% Hispanic Population,PCT_ORG_HISPPOP,0.012170006,0.003759398,0.012352941,0.037995595,0.028741866,0.01443392,0.02734375,0.017734784,0.05,0.001209482,0.011693171,0.027427724
% White Non-Hispanic Population,PCT_ORG_WHNHISPOP,-0.044211315,-0.053140097,-0.04272899,-0.040686275,-0.03648931,-0.040543239,-0.030985511,-0.044630404,-0.014348393,-0.055135135,-0.021768707,-0.109201774
Total Number of Households,ORG_HOUSEHOLDS2,0.025477218,0.012038445,0.019026294,0.010408248,0.025687298,0.012990843,0.025977571,0.014151685,0.00602011,0.028557274,0.007237479,0.009106311
White Households,ORG_WHHH,0.002283505,-0.010950261,0.005181282,-0.002069446,0.013379374,0.000178501,0.012466799,-0.005194396,-0.000525203,0.01811811,0.008386871,-0.029125059
Black Households,ORG_BLHH,0.004456273,0.012033757,0.03874851,0.043424613,0.056035239,0.017468568,0.07096916,0.01937181,0.027926528,0.112913739,0.009079354,0.031784841
Asian Households,ORG_ASHH,0.040254948,0.044606509,0.06064558,0.069895389,0.082309916,0.073903685,0.082399468,0.058653008,0.089859027,0.115466718,0.030678787,0.049274087
American Indian and Alaska Native Households,ORG_AMHH,0.078446663,0.054622307,0.105769231,0.176984705,0.113450496,0.13250727,0.114264652,0.080345521,0.225825826,0.11993865,0.024980484,0.110091743
Other Race Households,ORG_ORHH,0.074797933,0.022161243,0.017339074,0.012518968,0.081063793,0.023950826,0.042731646,0.042454501,0.073507463,0.036193218,-0.041114869,0.021195652
Two or More Races Households,ORG_TMHH,0.024044332,0.101649941,0.07362581,0.085323351,0.118932039,0.110234672,0.105817756,0.094141526,0.105765031,0.051233944,0.048227659,0.090715048
